source,target,relation,dataset
id-5620a936-fb9e-4340-9e5c-f8221415990e,id-2a769b9a-e99b-4cca-a6de-abcbf903f6d3,AssignmentRelationship,EA ModelSet
id-88aa4013-16a5-4f6f-96fb-964d66c682e5,id-2a769b9a-e99b-4cca-a6de-abcbf903f6d3,AssignmentRelationship,EA ModelSet
id-66cc051b-65d8-4c3b-ad3c-44d57db25e57,id-2a769b9a-e99b-4cca-a6de-abcbf903f6d3,ServingRelationship,EA ModelSet
id-7df69886-d887-4bcb-99ee-70b729be2dda,e94659df-6d5c-4560-a49a-6e1e20e8416a,AssignmentRelationship,EA ModelSet
id-6fd20f9d-28cc-4b30-9887-6aed8c80a2d8,id-2a769b9a-e99b-4cca-a6de-abcbf903f6d3,AssignmentRelationship,EA ModelSet
id-6fd20f9d-28cc-4b30-9887-6aed8c80a2d8,e94659df-6d5c-4560-a49a-6e1e20e8416a,AssignmentRelationship,EA ModelSet
id-3e817a97-06ed-4d8e-a2db-668ab8f12b2a,e94659df-6d5c-4560-a49a-6e1e20e8416a,AssignmentRelationship,EA ModelSet
id-7c872e5d-aeeb-4d22-bde6-bf063a72aac2,e0358a6f-44f3-4b26-a172-9bad3ac58aae,AggregationRelationship,EA ModelSet
id-7c872e5d-aeeb-4d22-bde6-bf063a72aac2,id-88aa4013-16a5-4f6f-96fb-964d66c682e5,AggregationRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,b508d806-87bd-49ca-b6e4-77e4903a4361,CompositionRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,c07b13bc-5cb1-4855-8a80-8424cdb864d5,CompositionRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,id-88aa4013-16a5-4f6f-96fb-964d66c682e5,CompositionRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,id-15c922fc-e304-4eff-b6ba-0dd4029537bd,CompositionRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,id-6fd20f9d-28cc-4b30-9887-6aed8c80a2d8,CompositionRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,id-7c872e5d-aeeb-4d22-bde6-bf063a72aac2,CompositionRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,id-7df69886-d887-4bcb-99ee-70b729be2dda,CompositionRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,id-3e817a97-06ed-4d8e-a2db-668ab8f12b2a,CompositionRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,id-5620a936-fb9e-4340-9e5c-f8221415990e,CompositionRelationship,EA ModelSet
id-38652f87-3a93-4bc5-bcea-90844a9698ef,e0358a6f-44f3-4b26-a172-9bad3ac58aae,CompositionRelationship,EA ModelSet
id-7df69886-d887-4bcb-99ee-70b729be2dda,d130c92f-175c-4699-95bc-9a957679fb16,AssignmentRelationship,EA ModelSet
id-15c922fc-e304-4eff-b6ba-0dd4029537bd,d130c92f-175c-4699-95bc-9a957679fb16,AssignmentRelationship,EA ModelSet
id-5620a936-fb9e-4340-9e5c-f8221415990e,id-7de7cbbe-821d-4932-90d9-39c6e8293ed1,AssignmentRelationship,EA ModelSet
id-66cc051b-65d8-4c3b-ad3c-44d57db25e57,id-7de7cbbe-821d-4932-90d9-39c6e8293ed1,ServingRelationship,EA ModelSet
